num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q4,C,-,C,O,4000,,,,,,
Result 1,R4,,,,,3,,,,,,
Question 2,Q2,C,-,C,N,4000,,,,,,
Result 2,R2,,,,,3,,,,,,
Question 3,Q13,H,C,C,C,8000,,,,,,
Result 3,R13,,,,,3,,,,,,
Question 4,Q27,H,N,C,C,4000,,,,,,
Result 4,R27,,,,,89,,,,,,
Question 5,Q16,H,C,H,C,4000,,,,,,
Result 5,R16,,,,,200,,,,,,
Question 6,Q9,C,-,N,O,8000,,,,,,
Result 6,R9,,,,,118,,,,,,
Question 7,Q6,N,-,N,N,4000,,,,,,
Result 7,R6,,,,,205,,,,,,
Question 8,Q8,C,-,N,O,4000,,,,,,
Result 8,R8,,,,,153,,,,,,
Question 9,Q12,H,C,C,C,4000,,,,,,
Result 9,R12,,,,,126,,,,,,
Question 10,Q1,H,C,C,C,8000,,,,,,
Result 10,R1,,,,,160,,,,,,
Question 11,Q23,C,H,N,H,8000,,,,,,
Result 11,R23,,,,,161,,,,,,
Question 12,Q7,N,-,N,N,8000,,,,,,
Result 12,R7,,,,,160,,,,,,
Question 13,Q24,C,H,O,H,4000,,,,,,
Result 13,R24,,,,,159,,,,,,
Question 14,Q0,H,C,C,C,4000,,,,,,
Result 14,R0,,,,,119,,,,,,
Question 15,Q18,C,H,-,N,4000,,,,,,
Result 15,R18,,,,,162,,,,,,
Question 16,Q15,H,C,C,O,8000,,,,,,
Result 16,R15,,,,,520,,,,,,
Question 17,Q5,C,-,C,O,8000,Question 1,C,-,C,O,8000
Result 17,R5,,,,,117,Result 1,O,O,C,N,4915
Question 18,Q21,C,H,H,H,8000,,,,,,
Result 18,R21,O,,,O,1000,,,,,,
Question 19,Q10,O,C,-,O,4000,,,,,,
Result 19,R10,N,O,,,1116,,,,,,
Question 20,Q17,H,C,H,C,8000,,,,,,
Result 20,R17,,,N,O,1161,,,,,,
Question 21,Q11,O,C,-,O,8000,,,,,,
Result 21,R11,,,,,202,,,,,,
Question 22,Q26,H,N,C,C,4000,,,,,,
Result 22,R26,,,,,162,,,,,,
Question 23,Q25,C,H,O,H,8000,,,,,,
Result 23,R25,,,,,159,,,,,,
Question 24,Q3,C,-,C,N,8000,,,,,,
Result 24,R3,,,,,118,,,,,,
Question 25,Q19,C,H,-,N,8000,,,,,,
Result 25,R19,,,,,158,,,,,,
Question 26,Q14,H,C,C,O,4000,Question 2,H,C,C,O,4000
Result 26,R14,,,,,439,Result 2,,,,,
Question 27,Q20,C,H,H,H,4000,,,,,,
Result 27,R20,,,,,366,,,,,,
Question 28,Q22,C,H,N,H,4000,,,,,,
Result 28,R22,N,,,O,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
