num_pre,file_order,T1,L1,B1,R1,time_pre
Question 1,Q1,C,C,C,C,8000
Result 1,R1,N,N,N,N,13779
Question 2,Q10,O,C,-,O,4000
Result 2,R10,,H,N,O,10880
Question 3,Q4,C,-,C,O,4000
Result 3,R4,N,,C,O,11880
Question 4,Q7,N,-,N,N,8000
Result 4,R7,C,,N,N,14361
Question 5,Q25,C,H,O,H,8000
Result 5,R25,C,H,N,H,13680
Question 6,Q24,C,H,O,H,4000
Result 6,R24,,H,C,C,9681
Question 7,Q27,H,N,C,C,4000
Result 7,R27,H,C,N,N,9680
Question 8,Q23,C,H,N,H,8000
Result 8,R23,N,H,C,H,15160
Question 9,Q14,H,C,C,O,4000
Result 9,R14,N,C,N,O,9959
Question 10,Q6,N,-,N,N,4000
Result 10,R6,,N,O,O,9520
Question 11,Q12,H,C,C,C,4000
Result 11,R12,H,C,O,C,9881
Question 12,Q19,C,H,-,N,8000
Result 12,R19,C,H,N,O,12719
Question 13,Q18,C,H,-,N,4000
Result 13,R18,N,H,N,O,9521
Question 14,Q22,C,H,N,H,4000
Result 14,R22,N,H,C,H,10601
Question 15,Q0,C,C,C,C,4000
Result 15,R0,N,C,N,N,9320
Question 16,Q17,H,C,H,C,8000
Result 16,R17,H,C,H,C,10281
Question 17,Q15,H,C,C,O,8000
Result 17,R15,C,C,N,O,8599
Question 18,Q5,C,-,C,O,8000
Result 18,R5,N,,N,O,8480
Question 19,Q13,H,C,C,C,8000
Result 19,R13,H,H,,H,9801
Question 20,Q8,C,-,N,O,4000
Result 20,R8,C,,N,O,8640
Question 21,Q21,C,H,H,H,8000
Result 21,R21,,H,C,H,12080
Question 22,Q2,C,-,C,N,4000
Result 22,R2,N,,N,O,6520
Question 23,Q20,C,H,H,H,4000
Result 23,R20,N,H,C,N,9121
Question 24,Q9,C,-,N,O,8000
Result 24,R9,C,,N,O,10559
Question 25,Q11,O,C,-,O,8000
Result 25,R11,O,N,,O,9720
Question 26,Q26,H,N,C,C,4000
Result 26,R26,H,C,C,N,7641
Question 27,Q16,H,C,H,C,4000
Result 27,R16,C,C,,C,8920
Question 28,Q3,C,-,C,N,8000
Result 28,R3,N,,N,N,7439
